key,full-name,email,passport-number,birthDate,special-needs,key:customer,draft-mode
passenger-01,Ramon Vergara Garrido,ramonvg8@gmail.com,QWE1234,2003/01/01 00:00,null,customer-01,true
passenger-02,Manu Yisus,manueljesus@gmail.com,QFE1254,2002/02/01 00:00,gluten,customer-02,true
passenger-03,Lucía Martínez,lucia.martinez@example.com,ZXD9876,2004/07/10 00:00,vegetarian,customer-01,false
passenger-04,洛伦·伊普森,a@b.co,AAAAAA,2005/01/01 00:00,null,customer-01,true
passenger-05,Nombre largo permitido con caracteres límite xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,correo.limite@example.com,Z9Y8X7W,2001/01/02 00:00,null,customer-02,true
passenger-06,Valid Person,valid@mail.com,ABCDEFGHI,2006/06/15 00:00,Necesita asiento especial,customer-01,true
passenger-07,Luis Test,luis@test.com,A1B2C3D4,2002/04/30 00:00,Celiaco,customer-02,false
passenger-08,Laura Gómez,laura.gomez@gmail.com,ZXCVB12,2008/05/12 00:00,null,customer-01,true
passenger-09,<script>alert(‘Hacked!’);</script>,carlos.r@example.net,POIUYT9,2009/03/30 00:00,null,customer-02,false
passenger-10,Marta Gil,marta.gil@mail.com,LKJHGF7,2007/09/18 00:00,lactosa,customer-01,true
passenger-11,Juan Valdez,juan.v@correo.com,ASD1234,2010/02/20 00:00,null,customer-02,true
passenger-12,Sara Medina,sara.medina@email.com,QAZWSX9,2011/12/25 00:00,null,customer-01,false
passenger-13,Andrés Pérez,andres.p@gmail.com,MNBVCXZ,2012/11/11 00:00,silla de ruedas,customer-02,true
passenger-14,Nuria Torres,nuria.t@gmail.com,ZXCVBNM,2013/04/04 00:00,null,customer-01,false
passenger-15,Hugo Rivas,hugo.rivas@email.com,TGBYHNU,2014/06/06 00:00,null,customer-02,true
passenger-16,Emma Lara,emma.lara@correo.es,EDCRFVT,2015/01/01 00:00,null,customer-01,true
passenger-17,Tomás Vélez,tomas.velez@mail.com,PLMOKNJ,2016/02/02 00:00,null,customer-02,false
passenger-18,Noelia Díaz,noelia.diaz@gmail.com,UJMIKOL,2017/03/03 00:00,null,customer-01,true
passenger-19,Iván Torres,ivan.torres@mail.com,QWERTYU,2018/07/07 00:00,visualmente discapacitado,customer-02,true
passenger-20,Carmen Soto,carmen.soto@correo.com,ZXCVBN1,2019/10/10 00:00,null,customer-01,false
